name,stationID,evaNr,rl100Code,lat,lon
Bietigheim-Bissingen,636,,,48.947933,9.137557
Bietingen,637,,,47.744017,8.738915
Bigge,639,,,51.358279,8.475253
Bildstock,640,,,49.337325,7.094341
Billenhausen,642,,,48.275562,10.358162
Billerbeck,643,,,51.981341,7.297482
Billwerder-Moorfleet,644,,,53.515589,10.096658
Binau,645,,,49.372589,9.083631
Bindfelde,647,,,52.584561,11.898035
Bindlach,648,,,49.98022,11.603442
Bingen (Rhein) Hbf,649,,,49.968729,7.884263
Bingen (Rhein) Stadt,650,,,49.969746,7.902985
Bingen-Gaulsheim,651,,,49.967073,7.950983
Binolen,652,,,51.371981,7.859433
Birkelbach,655,,,51.020694,8.252865
Birkenau,656,,,49.561039,8.708359
Birkengrund,659,,,52.315563,13.27196
Birkenstein,660,,,52.515601,13.647187
Birkenwerder (b Berlin),661,,,52.688249,13.288772
Birkungen,662,,,51.366312,10.330736
Birresborn,663,,,50.176411,6.628884
Bischheim-Gersdorf,665,,,51.2284148,14.0455163
Bischofswerda,671,,,51.125585,14.186144
Bischofswiesen,672,,,47.65189,12.960141
Bisingen,674,,,48.31277,8.921035
Bissendorf,676,,,52.522705,9.748191
Bitburg-Erdorf,678,,,49.998685,6.570958
Bittelbronn,679,,,48.444404,8.589439
Bitterfeld,680,,,51.622861,12.31685
Bitzfeld,7434,,,49.187233,9.453222
Blaibach (Oberpf),681,,,49.164028,12.807925
Blaichach (Allgäu),682,,,47.543741,10.258796
Blankenberg (Meckl),683,,,53.772305,11.71529
Blankenberg (Sieg),684,,,50.768476,7.348499
Blankenburg (Harz),686,,,51.795824,10.961184
Blankenese,687,,,53.564364,9.814607
Blankenfelde (Kr Teltow-Fläming),688,,,52.3369255,13.4160876
Blankenheim (Kr Sangerhausen),689,,,51.502781,11.426004
Blankenheim (Wald),690,,,50.441871,6.593504
Blankenloch,692,,,49.066528,8.464729
Blankensee (Meckl),693,,,53.408174,13.262907
Blankenstein (Saale),694,,,50.4011392,11.6980603
Blaubeuren,695,,,48.403815,9.791979
Blaustein,698,,,48.414596,9.919326
